_reserved,name,lat,lng,emoji,image_url,desc,category,hidden,store_id,reserved,status,news,detail,coupon,name_en,desc_en,category_en,news_en,detail_en,coupon_en,address,address_en,phone,phone_en,tags,tags_en,hours,hours_en,image_url_2,image_url_3
1,外浦ベーカリー,34.6785,138.9682,🥐,https://picsum.photos/seed/sotoura-bakery/400/400,焼きたてパンとコーヒー,グルメ,,s-bakery,,空き,本日クロワッサン焼き上がり！,海を望むテラス席あり。テイクアウト歓迎。,パン1個無料（表示時）,Sotoura Bakery,Fresh bread & coffee,Food,Fresh croissants today!,Terrace with sea view.,One free pastry,静岡県下田市外浦,Shimoda Sotoura,0558-00-0001,0558-00-0001,"#テラス, #テイクアウト","#terrace, #takeout",8:00〜17:00（火休）,8:00–17:00 (Tue closed),https://picsum.photos/seed/sotoura-bakery2/400/400,https://picsum.photos/seed/sotoura-bakery3/400/400
2,ペリーロード茶屋,34.6810,138.9720,🍵,https://picsum.photos/seed/perry-chaya/400/400,歴史の街並みで抹茶,グルメ,,s-perry,,混雑,期間限定わらび餅,ペリーロード沿いの古民家カフェ。,抹茶セット100円引き,Perry Road Tea House,Matcha in historic street,Food,Limited warabi mochi!,Traditional house cafe.,100 yen off matcha set,静岡県下田市柿崎,Shimoda Kakisaki,0558-00-0002,0558-00-0002,"#雨の日OK, #カフェ","#rainy-day, #cafe",10:00〜16:00,10:00–16:00,https://picsum.photos/seed/perry-chaya2/400/400,
3,下田海中水族館,34.6798,138.9745,🐬,https://picsum.photos/seed/aquarium/400/400,ドルフィンショー,観光,,s-aqua,,空き,イルカショー14:00〜,海中トンネルとイルカパフォーマンス。,入館20%OFF券,Shimoda Floating Aquarium,Dolphin show,Sightseeing,Dolphin show 2pm!,Underwater tunnel.,20% off admission,静岡県下田市外浦,Shimoda Sotoura,0558-00-0003,0558-00-0003,"#ファミリー, #屋内","#family, #indoor",9:00〜17:00,9:00–17:00,https://picsum.photos/seed/aquarium2/400/400,https://picsum.photos/seed/aquarium3/400/400
4,鳴海の風,34.6775,138.9660,🏠,https://picsum.photos/seed/narumi/400/400,ゲストハウス,宿泊,,s-narumi,,空き,,海まで徒歩3分。ドミトリー・個室あり。,連泊10%OFF,Narumi no Kaze,Guest house,Lodging,,3 min walk to the sea.,10% off 2+ nights,静岡県下田市外浦,Shimoda Sotoura,0558-00-0004,0558-00-0004,"#宿泊, #Wi-Fi","#lodging, #wifi",チェックイン15:00〜,Check-in from 15:00,,
5,Shimoda View Hotel,34.6825,138.9760,🏨,https://picsum.photos/seed/viewhotel/400/400,湾を一望,宿泊,,s-viewhotel,,満席,眺望の良い客室残りわずか,最上階レストラン。温泉大浴場。,ディナー付きプラン特典,Shimoda View Hotel,Bay view hotel,Lodging,Few rooms with best view!,Top-floor restaurant.,Dinner package bonus,静岡県下田市柿崎,Shimoda Kakisaki,0558-00-0005,0558-00-0005,"#温泉, #駐車場","#onsen, #parking",24時間フロント,24h front desk,https://picsum.photos/seed/viewhotel2/400/400,
6,八幡神社,34.6800,138.9700,⛩️,https://picsum.photos/seed/hachiman/400/400,地域の守り神,観光,,s-hachiman,,,,石段と鳥居がシンボル。御朱印あり。,,Hachiman Shrine,Local shrine,Sightseeing,,Stone steps & torii.,Goshuin available,静岡県下田市外浦,Shimoda Sotoura,,,"#散策, #写真","#walk, #photo",日出〜日落,Sunrise to sunset,,
7,フェニックス広場,34.6830,138.9755,🌊,https://picsum.photos/seed/phoenix/400/400,海沿いの広場,観光,,s-phoenix,,,,イベント時は屋台も。芝生でピクニック。,,Phoenix Square,Seaside plaza,Sightseeing,,Stalls during events.,Picnic on the lawn,静岡県下田市外浦,Shimoda Sotoura,,,"#ペット可, #海","#pet-friendly, #sea",常時開放,Always open,,
8,万宝,34.6765,138.9655,🦑,https://picsum.photos/seed/manpo/400/400,干物・海産物,グルメ,,s-manpo,,空き,本日アジ開き入荷！,地元漁港直送。お土産に最適。,5000円以上で送料無料クーポン,Manpo,Dried seafood,Food,Fresh horse mackerel today!,From local port.,Free shipping over 5000 yen,静岡県下田市外浦,Shimoda Sotoura,0558-00-0008,0558-00-0008,"#お土産, #海鮮","#souvenir, #seafood",9:00〜18:00,9:00–18:00,,
9,上の山亭,34.6840,138.9640,🍱,https://picsum.photos/seed/uenoyama/400/400,会席料理,グルメ,,s-uenoyama,,混雑,夕食コース要予約,季節の食材を使った会席。,ランチコーヒー付き,Uenoyama-tei,Kaiseki restaurant,Food,Dinner reservation recommended,Seasonal kaiseki.,Coffee with lunch,静岡県下田市外浦,Shimoda Sotoura,0558-00-0009,0558-00-0009,"#会席, #予約推奨","#kaiseki, #reservation",11:30〜14:00 17:00〜21:00,11:30–14:00 17:00–21:00,https://picsum.photos/seed/uenoyama2/400/400,
10,外浦漁港,34.6760,138.9780,⚓,https://picsum.photos/seed/port/400/400,漁船と朝市,観光,,s-port,,,,早朝は漁師直売。散策コース。,,Sotoura Fishing Port,Morning market,Sightseeing,,Early fish market.,Strolling course,静岡県下田市外浦,Shimoda Sotoura,,,"#朝活, #港","#morning, #port",早朝〜夕方,Early morning–evening,,
